Step,Time,I,E,Q
44,0,3.3981,3.8686,0
44,0.1,3.3981,3.8686,0.0001
44,0.2,3.3982,3.87,0.0002
44,0.3,3.3987,3.8706,0.0003
44,0.4,3.3989,3.8718,0.0004
44,0.5,3.3991,3.8727,0.0005
44,0.6,3.3992,3.8735,0.0006
44,0.7,3.3993,3.8741,0.0007
44,0.8,3.3994,3.8748,0.0008
44,0.9,3.3994,3.8752,0.0008
44,1,3.3994,3.8758,0.0009
44,1.1,3.3995,3.8762,0.001
44,1.2,3.3995,3.8766,0.0011
44,1.3,3.3995,3.877,0.0012
44,1.4,3.3995,3.8775,0.0013
44,1.5,3.3995,3.8778,0.0014
44,1.6,3.3995,3.8782,0.0015
44,1.7,3.3995,3.8785,0.0016
44,1.8,3.3996,3.8788,0.0017
44,1.9,3.3996,3.8791,0.0018
44,2,3.3996,3.8794,0.0019
44,2.1,3.3996,3.8798,0.002
44,2.2,3.3997,3.88,0.0021
44,2.3,3.3997,3.8803,0.0022
44,2.4,3.3997,3.8806,0.0023
44,2.5,3.3997,3.8809,0.0024
44,2.6,3.3997,3.8811,0.0025
44,2.7,3.3997,3.8814,0.0025
44,2.8,3.3997,3.8816,0.0026
44,2.9,3.3998,3.8819,0.0027
44,3,3.3998,3.8821,0.0028
44,3.1,3.3998,3.8824,0.0029
44,3.2,3.3998,3.8826,0.003
44,3.3,3.3998,3.8829,0.0031
44,3.4,3.3998,3.8831,0.0032
44,3.5,3.3998,3.8833,0.0033
44,3.6,3.3998,3.8835,0.0034
44,3.7,3.3998,3.8838,0.0035
44,3.8,3.3998,3.884,0.0036
44,3.9,3.3998,3.8841,0.0037
44,4,3.3998,3.8844,0.0038
44,4.1,3.3998,3.8846,0.0039
44,4.2,3.3998,3.8848,0.004
44,4.3,3.3998,3.885,0.0041
44,4.4,3.3998,3.8853,0.0042
44,4.5,3.3998,3.8855,0.0042
44,4.6,3.3998,3.8857,0.0043
44,4.7,3.3998,3.8859,0.0044
44,4.8,3.3998,3.8861,0.0045
44,4.9,3.3998,3.8863,0.0046
44,5,3.3998,3.8865,0.0047
44,5.1,3.3998,3.8867,0.0048
44,5.2,3.3998,3.8869,0.0049
44,5.3,3.3998,3.8871,0.005
44,5.4,3.3998,3.8872,0.0051
44,5.5,3.3998,3.8874,0.0052
44,5.6,3.3998,3.8876,0.0053
44,5.7,3.3998,3.8878,0.0054
44,5.8,3.3998,3.888,0.0055
44,5.9,3.3998,3.8882,0.0056
44,6,3.3998,3.8884,0.0057
44,6.1,3.3998,3.8885,0.0058
44,6.2,3.3998,3.8887,0.0059
44,6.3,3.3998,3.8889,0.0059
44,6.4,3.3998,3.8891,0.006
44,6.5,3.3998,3.8893,0.0061
44,6.6,3.3998,3.8895,0.0062
44,6.7,3.3998,3.8897,0.0063
44,6.8,3.3998,3.8898,0.0064
44,6.9,3.3998,3.89,0.0065
44,7,3.3998,3.8902,0.0066
44,7.1,3.3998,3.8904,0.0067
44,7.2,3.3998,3.8905,0.0068
44,7.3,3.3998,3.8907,0.0069
44,7.4,3.3998,3.8909,0.007
44,7.5,3.3998,3.8911,0.0071
44,7.6,3.3998,3.8912,0.0072
44,7.7,3.3998,3.8914,0.0073
44,7.8,3.3998,3.8915,0.0074
44,7.9,3.3998,3.8918,0.0075
44,8,3.3998,3.8919,0.0076
44,8.1,3.3998,3.8921,0.0076
44,8.2,3.3998,3.8922,0.0077
44,8.3,3.3998,3.8924,0.0078
44,8.4,3.3998,3.8926,0.0079
44,8.5,3.3998,3.8927,0.008
44,8.6,3.3998,3.8929,0.0081
44,8.7,3.3998,3.8931,0.0082
44,8.8,3.3998,3.8933,0.0083
44,8.9,3.3998,3.8934,0.0084
44,9,3.3998,3.8936,0.0085
44,9.1,3.3998,3.8938,0.0086
44,9.2,3.3998,3.8939,0.0087
44,9.3,3.3998,3.8941,0.0088
44,9.4,3.3998,3.8942,0.0089
44,9.5,3.3998,3.8944,0.009
44,9.6,3.3998,3.8945,0.0091
44,9.7,3.3998,3.8947,0.0092
44,9.8,3.3998,3.8948,0.0093
44,9.9,3.3998,3.895,0.0093
44,10,3.3998,3.8952,0.0094
44,10.1,3.3998,3.8954,0.0095
44,10.2,3.3998,3.8955,0.0096
44,10.3,3.3998,3.8956,0.0097
44,10.4,3.3998,3.8958,0.0098
44,10.5,3.3998,3.8959,0.0099
44,10.6,3.3998,3.8961,0.01
44,10.7,3.3998,3.8962,0.0101
44,10.8,3.3998,3.8964,0.0102
44,10.9,3.3998,3.8966,0.0103
44,11,3.3998,3.8967,0.0104
44,11.1,3.3998,3.8969,0.0105
44,11.2,3.3998,3.8971,0.0106
44,11.3,3.3998,3.8972,0.0107
44,11.4,3.3998,3.8974,0.0108
44,11.5,3.3998,3.8975,0.0109
44,11.6,3.3998,3.8977,0.011
44,11.7,3.3998,3.8978,0.011
44,11.8,3.3998,3.898,0.0111
44,11.9,3.3998,3.8981,0.0112
44,12,3.3998,3.8982,0.0113
44,12.1,3.3998,3.8984,0.0114
44,12.2,3.3998,3.8985,0.0115
44,12.3,3.3998,3.8987,0.0116
44,12.4,3.3998,3.8988,0.0117
44,12.5,3.3998,3.899,0.0118
44,12.6,3.3998,3.8991,0.0119
44,12.7,3.3998,3.8993,0.012
