Step,Time,I,E,Q
91,0,-1.6983,3.6503,0
91,0.1,-1.6983,3.6503,0
91,0.2,-1.6983,3.6497,0.0001
91,0.3,-1.6987,3.6495,0.0001
91,0.4,-1.699,3.649,0.0002
91,0.5,-1.6991,3.6486,0.0002
91,0.6,-1.6992,3.6482,0.0003
91,0.7,-1.6993,3.6479,0.0003
91,0.8,-1.6994,3.6476,0.0004
91,0.9,-1.6994,3.6473,0.0004
91,1,-1.6995,3.6471,0.0005
91,1.1,-1.6995,3.6469,0.0005
91,1.2,-1.6995,3.6467,0.0006
91,1.3,-1.6995,3.6465,0.0006
91,1.4,-1.6995,3.6463,0.0007
91,1.5,-1.6996,3.6461,0.0007
91,1.6,-1.6996,3.6459,0.0008
91,1.7,-1.6996,3.6458,0.0008
91,1.8,-1.6996,3.6456,0.0008
91,1.9,-1.6996,3.6455,0.0009
91,2,-1.6996,3.6453,0.0009
91,2.1,-1.6996,3.6452,0.001
91,2.2,-1.6996,3.645,0.001
91,2.3,-1.6996,3.6449,0.0011
91,2.4,-1.6996,3.6447,0.0011
91,2.5,-1.6997,3.6446,0.0012
91,2.6,-1.6997,3.6444,0.0012
91,2.7,-1.6997,3.6444,0.0013
91,2.8,-1.6997,3.6442,0.0013
91,2.9,-1.6997,3.6441,0.0014
91,3,-1.6997,3.644,0.0014
91,3.1,-1.6997,3.6439,0.0015
91,3.2,-1.6997,3.6437,0.0015
91,3.3,-1.6997,3.6436,0.0016
91,3.4,-1.6997,3.6435,0.0016
91,3.5,-1.6997,3.6433,0.0017
91,3.6,-1.6997,3.6432,0.0017
91,3.7,-1.6997,3.6431,0.0017
91,3.8,-1.6997,3.643,0.0018
91,3.9,-1.6997,3.6429,0.0018
91,4,-1.6997,3.6428,0.0019
91,4.1,-1.6997,3.6427,0.0019
91,4.2,-1.6997,3.6426,0.002
91,4.3,-1.6997,3.6425,0.002
91,4.4,-1.6997,3.6424,0.0021
91,4.5,-1.6997,3.6422,0.0021
91,4.6,-1.6997,3.6421,0.0022
91,4.7,-1.6997,3.6421,0.0022
